bedrooms,bathrooms,toilets,parking spaces,type,town,state,price
4,4,5,3,detached bungalow,Agbara-Igbesa,Lagos,35000000
5,,,,detached duplex,Gwarinpa,Abuja,165000000
5,,,,detached duplex,Isolo,Lagos,120000000
5,5,6,,detached duplex,Lugbe District,Abuja,115000000
4,5,7,6,detached duplex,Guzape District,Abuja,400000000
5,6,7,8,detached duplex,Kaura,Abuja,250000000
5,6,6,20,detached duplex,Lekki,Lagos,130000000
4,,,,terraced duplex,Utako,Abuja,75000000
3,,,,block of flats,Utako,Abuja,60000000
5,6,,,detached duplex,Dakwo,Abuja,90000000
5,,,,detached duplex,Asokoro District,Abuja,130000000
5,,,,detached duplex,Jahi,Abuja,250000000
5,,,,detached duplex,Apo,Abuja,110000000
5,,,,detached duplex,Galadimawa,Abuja,160000000
4,5,5,,terraced duplex,Guzape District,Abuja,90000000
4,,,,semi-detached duplex,Lekki,Lagos,85000000
4,,,,detached duplex,Lekki,Lagos,120000000
5,5,6,8,detached duplex,Lekki,Lagos,500000000
5,7,8,5,detached duplex,Lekki,Lagos,220000000
5,6,7,4,detached duplex,Lekki,Lagos,270000000
5,6,7,5,detached duplex,Lekki,Lagos,280000000
2,2,2,,block of flats,Akure,Ondo,35000000
5,,7,12,detached duplex,Ikoyi,Lagos,4000000000
4,,,,semi-detached duplex,Lekki,Lagos,90000000
5,5,6,12,semi-detached duplex,Lekki,Lagos,95000000
3,3,3,8,semi-detached duplex,Lekki,Lagos,280000000
5,,,,house,Maitama District,Abuja,1000000000
3,3,4,3,terraced duplex,Ibeju Lekki,Lagos,38000000
3,2,2,,house,Alimosho,Lagos,60000000
2,2,2,,house,Alimosho,Lagos,27000000
2,2,3,3,block of flats,Ajah,Lagos,21000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,75000000
4,5,5,9,semi-detached duplex,Life Camp,Abuja,40000000
4,4,5,,detached duplex,Ojodu,Lagos,90000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,62000000
4,4,5,3,house,Ajah,Lagos,49000000
3,3,2,6,block of flats,Surulere,Lagos,75000000
3,,4,,detached bungalow,Ijebu Ode,Ogun,25000000
4,4,5,7,detached duplex,Ikorodu,Lagos,40000000
4,4,5,2,terraced duplex,Ikoyi,Lagos,200000000
4,4,4,12,terraced duplex,Ajah,Lagos,65000000
4,,,,semi-detached duplex,Lekki,Lagos,78000000
5,5,6,4,semi-detached duplex,Karmo,Abuja,65000000
4,,5,,semi-detached duplex,Lekki,Lagos,35000000
5,,6,,detached duplex,Ibeju Lekki,Lagos,190000000
4,4,5,,terraced duplex,Ikeja,Lagos,250000000
5,5,5,4,detached duplex,Ikorodu,Lagos,35000000
5,5,6,6,detached duplex,Ikeja,Lagos,50000000
3,4,4,5,detached bungalow,Galadimawa,Abuja,70000000
6,6,7,8,detached duplex,Ikeja,Lagos,760000000
5,5,7,4,detached duplex,Katampe,Abuja,220000000
4,,,,detached duplex,Ikeja,Lagos,85000000
4,5,5,,terraced duplex,Durumi,Abuja,65000000
5,5,6,2,detached duplex,Lekki,Lagos,500000000
3,3,4,3,semi-detached bungalow,Ibeju Lekki,Lagos,25000000
5,,,,terraced duplex,Gaduwa,Abuja,70000000
4,4,5,2,detached duplex,Ikoyi,Lagos,350000000
5,5,6,2,terraced duplex,Ikoyi,Lagos,550000000
5,5,6,3,house,Ikoyi,Lagos,585000000
2,2,3,4,block of flats,Ikotun,Lagos,35000000
5,5,6,4,detached duplex,Ikoyi,Lagos,440000000
8,10,12,8,detached duplex,Lugbe District,Abuja,289000000
156,156,162,70,15 block of flats,Ikoyi,Lagos,12300000000
4,4,5,2,detached duplex,Ikoyi,Lagos,349000000
6,6,7,4,detached duplex,Ikoyi,Lagos,750000000
4,4,5,2,house,Ikoyi,Lagos,"
$1400000 
approx. ₦610646056
"
3,3,4,4,terraced duplex,Lekki,Lagos,80000000
3,3,4,,detached bungalow,Ado-Odo/Ota,Ogun,5000000
4,4,5,2,terraced duplex,Ikoyi,Lagos,450000000
3,,,,terraced duplex,Lekki,Lagos,600000000
5,5,6,,detached duplex,Ikoyi,Lagos,950000000
5,,,,house,Lekki,Lagos,440000000
5,5,6,,detached bungalow,Jabi,Abuja,280000000
4,3,3,3,semi-detached duplex,Surulere,Lagos,60000000
4,4,5,3,terraced duplex,Ajah,Lagos,62000000
4,5,5,3,terraced duplex,Lekki,Lagos,60000000
3,4,4,2,terraced duplex,Ajah,Lagos,52000000
2,3,3,2,terraced duplex,Lekki,Lagos,40000000
3,4,4,3,block of flats,Lekki,Lagos,30000000
2,2,3,2,terraced duplex,Ajah,Lagos,42000000
2,3,3,2,block of flats,Lekki,Lagos,24000000
4,4,5,,terraced duplex,Magodo,Lagos,250000000
5,5,5,,detached duplex,Lekki,Lagos,250000000
4,5,6,,detached duplex,Karsana,Abuja,44850000
5,,,,detached bungalow,Magodo,Lagos,260000000
3,3,4,5,detached bungalow,Asaba,Delta,45000000
5,,,,detached duplex,Durumi,Abuja,135000000
5,7,8,4,detached duplex,Ikoyi,Lagos,"
$4000000 
approx. ₦1744703016
"
5,5,6,2,semi-detached duplex,Victoria Island (VI),Lagos,250000000
5,5,6,2,terraced duplex,Victoria Island (VI),Lagos,220000000
4,4,5,,detached duplex,Lekki,Lagos,65000000
3,3,4,3,semi-detached bungalow,Ibafo,Ogun,25000000
5,,,,semi-detached duplex,Magodo,Lagos,150000000
4,4,5,,detached duplex,Ajah,Lagos,60000000
3,3,4,720,detached bungalow,Isheri North,Lagos,38000000
6,6,7,8,detached duplex,Asaba,Delta,120000000
24,24,24,,2 block of flats,Ifako-Ijaiye,Lagos,100000000
5,6,6,,detached duplex,Isheri North,Lagos,85000000
2,2,3,4,block of flats,Ikeja,Lagos,40000000
4,4,5,,semi-detached duplex,Ikoyi,Lagos,290000000
8,2,2,,block of flats,Zuba,Abuja,14500000
4,4,5,4,detached duplex,Lekki,Lagos,100000000
4,5,5,4,terraced duplex,Apo,Abuja,45000000
4,4,4,,terraced duplex,Ajah,Lagos,49000000
4,4,5,7,semi-detached duplex,Wuse 2,Abuja,200000000
2,3,3,5,block of flats,Dakwo,Abuja,130000000
3,4,4,,detached bungalow,Ibadan,Oyo,38000000
6,,7,,detached duplex,Wuse,Abuja,150000000
4,4,5,5,detached duplex,Lekki,Lagos,140000000
10,,,,1 detached duplex,Asokoro District,Abuja,1000000000
6,,,,house,Gudu,Abuja,6000000000
3,3,3,3,terraced duplex,Lekki,Lagos,38000000
5,5,6,6,detached duplex,Lekki,Lagos,300000000
3,3,3,,semi-detached bungalow,Ibeju Lekki,Lagos,26500000
2,2,3,,detached bungalow,Epe,Lagos,20000000
2,2,3,2,terraced duplex,Ajah,Lagos,30000000
3,4,4,2,block of flats,Lekki,Lagos,81000000
5,5,5,10,detached duplex,Owerri Municipal,Imo,150000000
4,4,5,2,detached duplex,Lekki,Lagos,130000000
6,6,7,5,detached duplex,Apo,Abuja,120000000
4,5,5,3,terraced duplex,Lekki,Lagos,48000000
4,5,5,5,terraced duplex,Maitama District,Abuja,900000000
6,7,7,10,detached duplex,Kaura,Abuja,110000000
5,6,6,,detached duplex,Gwarinpa,Abuja,90000000
4,4,5,2,terraced duplex,Lekki,Lagos,110000000
5,,,,house,Surulere,Lagos,250000000
2,2,2,,block of flats,Yenagoa,Bayelsa,40000000
4,5,5,,detached duplex,Lekki,Lagos,90000000
3,,,,house,Surulere,Lagos,70000000
3,3,4,3,detached bungalow,Ajah,Lagos,32000000
7,,,,detached duplex,Victoria Island (VI),Lagos,700000000
7,7,10,10,detached duplex,Port Harcourt,Rivers,70000000
12,,,,1 block of flats,Ibadan,Oyo,25000000
,,,450,detached bungalow,Ikorodu,Lagos,15000000
4,4,5,100,semi-detached duplex,Maryland,Lagos,68000000
4,,54,100,terraced duplex,Maryland,Lagos,85000000
4,5,5,,terraced duplex,Lekki,Lagos,60000000
4,,,,terraced duplex,Jabi,Abuja,60000000
4,5,5,2,terraced duplex,Yaba,Lagos,86000000
3,,,,house,Sango Ota,Ogun,4500000
2,,,,block of flats,Ijoko,Ogun,7500000
3,3,4,5,semi-detached bungalow,Dakwo,Abuja,40000000
3,3,3,,house,Sango Ota,Ogun,13000000
5,4,4,2,terraced duplex,Lekki,Lagos,90000000
,,,,Block of flats,Ikoyi,Lagos,1500000000
,,,,Block of flats,Alimosho,Lagos,30000000
,,,,Block of flats,Alimosho,Lagos,70000000
3,4,4,,house,Alimosho,Lagos,25000000
4,,,,semi-detached duplex,Lekki,Lagos,120000000
3,4,4,5,detached bungalow,Alimosho,Lagos,25000000
4,4,5,3,detached bungalow,Ajah,Lagos,40000000
3,,,,detached bungalow,Surulere,Lagos,40000000
4,4,5,,terraced duplex,Lekki,Lagos,75000000
4,4,5,,semi-detached duplex,Lekki,Lagos,80000000
5,5,6,,detached duplex,Ajah,Lagos,95000000
4,4,5,4,semi-detached duplex,Ajah,Lagos,55000000
4,4,5,,semi-detached duplex,Lekki,Lagos,100000000
5,5,6,,detached duplex,Idu Industrial,Abuja,70000000
5,5,5,5,detached duplex,Magodo,Lagos,350000000
5,5,6,3,detached duplex,Ikoyi,Lagos,900000000
5,8,6,,detached duplex,Lekki,Lagos,180000000
,,,,Block of flats,Isolo,Lagos,110000000
,,,,Block of flats,Amuwo Odofin,Lagos,150000000
,,,,Block of flats,Lekki,Lagos,350000000
2,2,3,4,block of flats,Port Harcourt,Rivers,30000000
3,4,5,,terraced duplex,Lekki,Lagos,43000000
4,4,5,5,detached duplex,Lekki,Lagos,110000000
4,4,5,,semi-detached duplex,Lekki,Lagos,275000000
30,,,,3 house,Apapa,Lagos,42000000
2,2,2,,semi-detached bungalow,Kubwa,Abuja,23000000
3,3,3,,house,Kubwa,Abuja,30000000
4,4,5,3,detached bungalow,Ajah,Lagos,40000000
4,4,4,,detached duplex,Lekki,Lagos,150000000
4,4,5,,detached duplex,Ajah,Lagos,105000000
2,2,3,,semi-detached duplex,Kubwa,Abuja,26000000
4,4,5,,terraced duplex,Life Camp,Abuja,115000000
5,5,6,3,detached duplex,Ikeja,Lagos,240000000
5,5,6,6,detached duplex,Arepo,Ogun,55000000
4,4,5,4,semi-detached duplex,Isheri North,Lagos,55000000
4,4,5,5,detached duplex,Magodo,Lagos,240000000
,3,,4,Block of flats,Gbagada,Lagos,90000000
2,2,2,8,block of flats,Kubwa,Abuja,30000000
5,6,6,,detached duplex,Lekki,Lagos,270000000
2,2,3,2,block of flats,Ikoyi,Lagos,155000000
5,5,6,4,detached duplex,Ikoyi,Lagos,750000000
4,4,5,,house,Ikoyi,Lagos,300000000
6,6,7,,terraced duplex,Ikoyi,Lagos,"
$1400000 
approx. ₦610646056
"
4,4,5,3,detached duplex,Lekki,Lagos,85000000
5,5,6,,detached duplex,Lekki,Lagos,300000000
5,7,7,4,detached duplex,Lekki,Lagos,550000000
5,5,6,4,detached duplex,Lekki,Lagos,390000000
5,5,6,4,detached duplex,Lekki,Lagos,150000000
5,5,6,12,semi-detached duplex,Lekki,Lagos,95000000
4,4,5,,terraced duplex,Lekki,Lagos,65000000
4,4,5,,semi-detached duplex,Ikoyi,Lagos,500000000
4,4,5,,terraced duplex,Victoria Island (VI),Lagos,150000000
4,4,5,,detached duplex,Lekki,Lagos,65000000
2,2,3,,block of flats,Lekki,Lagos,35000000
5,2,2,,detached bungalow,Surulere,Lagos,28000000
5,,,,house,Shomolu,Lagos,50000000
,,,,Block of flats,Shomolu,Lagos,55000000
,,,,Block of flats,Shomolu,Lagos,120000000
5,5,6,8,semi-detached duplex,Wuse,Abuja,200000000
2,2,3,2,terraced duplex,Lekki,Lagos,40000000
5,6,6,,detached duplex,Ikoyi,Lagos,400000000
3,,,,semi-detached bungalow,Ibeju Lekki,Lagos,26500000
3,3,4,3,block of flats,Agege,Lagos,45000000
4,5,5,,detached duplex,Apo,Abuja,65000000
4,3,3,400,detached bungalow,Alimosho,Lagos,45000000
3,,,,house,Ado-Odo/Ota,Ogun,6000000
4,5,5,2,terraced duplex,Victoria Island (VI),Lagos,300000000
5,5,6,,detached duplex,Ajah,Lagos,62000000
4,4,5,,terraced duplex,Ojodu,Lagos,72000000
5,5,6,,house,Ikeja,Lagos,250000000
5,6,7,3,semi-detached duplex,Ikoyi,Lagos,450000000
4,4,,4,semi-detached duplex,Magodo,Lagos,95000000
6,6,7,7,detached duplex,Ikoyi,Lagos,1900000000
3,5,5,4,terraced duplex,Magodo,Lagos,50000000
4,,,,detached duplex,Victoria Island (VI),Lagos,250000000
4,,,,terraced duplex,Victoria Island (VI),Lagos,150000900
5,4,5,6,semi-detached duplex,Ikeja,Lagos,110000000
3,3,3,3,detached bungalow,Mowe Ofada,Ogun,15999000
,,,,Block of flats,Asaba,Delta,100000000
4,5,5,,terraced duplex,Ikoyi,Lagos,680000000
5,,6,,detached duplex,Ikoyi,Lagos,750000000
5,6,6,,detached duplex,Ikoyi,Lagos,1600000000
5,6,6,,detached duplex,Lekki,Lagos,250000000
5,5,6,5,semi-detached duplex,Lekki,Lagos,250000000
4,,,,terraced duplex,Lekki,Lagos,75000000
3,,4,,block of flats,Jahi,Abuja,55000000
4,,5,,terraced duplex,Mabushi,Abuja,110000000
2,,,,block of flats,Surulere,Lagos,65000000
3,2,2,,block of flats,Ikeja,Lagos,200000000
,,,,Block of flats,Asaba,Delta,135000000
4,4,5,,terraced duplex,Lekki,Lagos,75000000
,,,,Block of flats,Ajah,Lagos,50000000
4,,,,semi-detached duplex,Ajah,Lagos,5000000000
4,,,,detached duplex,Lekki,Lagos,105000000
4,4,4,3,semi-detached duplex,Lekki,Lagos,50000000
4,5,5,,detached duplex,Ikoyi,Lagos,350000000
5,,,,detached duplex,Ikoyi,Lagos,950000000
4,5,5,,terraced duplex,Ikoyi,Lagos,650000000
,2,2,2,block of flats,Lekki,Lagos,37500000
5,6,6,,detached duplex,Wuye,Abuja,286900000
4,,,,terraced duplex,Lekki,Lagos,80000000
5,5,6,6,detached duplex,Lekki,Lagos,650000000
5,5,6,5,house,Lekki,Lagos,350000000
4,4,4,,detached duplex,Ikoyi,Lagos,750000000
36,12,12,,3 detached bungalow,Abakaliki,Ebonyi,170000000
2,3,3,2,terraced duplex,Lekki,Lagos,40000000
4,4,4,4,terraced duplex,Lekki,Lagos,55000000
7,7,8,15,detached duplex,Victoria Island (VI),Lagos,700000000
5,,,,detached duplex,Ikoyi,Lagos,1500000000
5,6,6,5,detached duplex,Ajah,Lagos,70000000
,,,,Block of flats,Ikorodu,Lagos,45000000
5,5,6,12,semi-detached duplex,Lekki,Lagos,95000000
,,,,block of flats,Alimosho,Lagos,45000000
3,3,4,,block of flats,Lugbe District,Abuja,350000000
4,4,5,,detached duplex,Ibeju Lekki,Lagos,100000000
4,,,,semi-detached duplex,Ikeja,Lagos,65000000
5,6,5,5,detached duplex,Lekki,Lagos,450000000
5,5,6,5,detached duplex,Ikoyi,Lagos,650000000
6,6,7,6,detached duplex,Ikoyi,Lagos,2000000000
5,5,6,4,detached duplex,Lekki,Lagos,220000000
5,5,6,4,detached duplex,Ajah,Lagos,120000000
5,5,6,4,detached duplex,Ikoyi,Lagos,650000000
5,5,6,4,detached duplex,Lekki,Lagos,155000000
5,5,6,5,detached duplex,Lekki,Lagos,370000000
4,4,5,3,terraced duplex,Ikoyi,Lagos,700000000
4,4,5,4,detached duplex,Lekki,Lagos,160000000
4,5,5,4,detached duplex,Magodo,Lagos,295000000
5,5,6,4,detached duplex,Lekki,Lagos,120000000
4,4,5,3,detached duplex,Lekki,Lagos,110000000
4,4,5,4,detached duplex,Ajah,Lagos,90000000
4,4,5,2,terraced duplex,Lekki,Lagos,65000000
4,4,4,5,detached duplex,Victoria Island (VI),Lagos,200000000
4,4,6,3,semi-detached duplex,Ajah,Lagos,43000000
4,,,,detached duplex,Ayobo,Lagos,22000000
4,4,5,4,semi-detached duplex,Abeokuta South,Ogun,35000000
7,5,5,6,terraced bungalow,Akure,Ondo,16000000
5,5,6,,detached duplex,Lekki,Lagos,215000000
5,,,,detached duplex,Lekki,Lagos,65000000
3,4,4,2,house,Ikotun,Lagos,16000000
4,4,5,3,terraced duplex,Lekki,Lagos,220000000
10,,,,1 detached bungalow,Shomolu,Lagos,45000000
6,,,,house,Ikoyi,Lagos,260000000
,,,,Block of flats,Shomolu,Lagos,85000000
10,,,,1 house,Shomolu,Lagos,45000000
4,5,5,4,detached duplex,Lekki,Lagos,120000000
3,,,,house,Ibadan,Oyo,38000000
4,2,2,,detached bungalow,Ojo,Lagos,21000000
5,,6,,house,Ibadan,Oyo,70000000
5,,6,,house,Ibadan,Oyo,100000000
4,4,5,4,semi-detached duplex,Lekki,Lagos,115000000
5,,,,house,Ibadan,Oyo,250000000
5,4,4,10,detached duplex,Surulere,Lagos,200000000
4,4,5,3,terraced duplex,Lekki,Lagos,130000000
5,5,6,12,semi-detached duplex,Lekki,Lagos,95000000
4,,,,terraced duplex,Ikeja,Lagos,120000000
4,4,5,3,terraced duplex,Katampe,Abuja,105000000
5,6,6,,detached duplex,Gwarinpa,Abuja,96000000
2,3,3,3,block of flats,Wuye,Abuja,35000000
4,4,4,,terraced duplex,Lekki,Lagos,120000001
3,,,,block of flats,Ketu,Lagos,98000000
4,4,5,3,semi-detached duplex,Lekki,Lagos,80000000
7,,,,detached duplex,Victoria Island (VI),Lagos,800000000
13,,,,1 house,Ibadan,Oyo,22000000
3,,3,,terraced duplex,Apo,Abuja,18000000
5,5,6,5,block of flats,Surulere,Lagos,190000000
4,5,5,,terraced duplex,Lekki,Lagos,70000000
5,5,5,5,detached bungalow,Surulere,Lagos,90000000
,,,,Block of flats,Surulere,Lagos,100000000
4,4,4,4,terraced duplex,Magboro,Ogun,28500000
,,,,block of flats,Lekki,Lagos,35000000
4,4,5,8,semi-detached duplex,Asokoro District,Abuja,120000000
4,4,5,6,detached duplex,Asokoro District,Abuja,130000000
,3,3,15,Block of flats,Ilupeju,Lagos,350000000
4,3,3,10,detached bungalow,Ipaja,Lagos,10000000
4,4,5,,terraced duplex,Ikeja,Lagos,250000000
4,5,6,12,detached duplex,Asokoro District,Abuja,350000000
7,7,8,4,terraced duplex,Jahi,Abuja,150000000
5,6,6,8,detached duplex,Lugbe District,Abuja,75000000
4,5,5,3,terraced duplex,Gwarinpa,Abuja,145000000
2,2,3,1200,block of flats,Lugbe District,Abuja,200000000
5,5,6,4,semi-detached duplex,Lekki,Lagos,285000000
6,5,4,,detached duplex,Alimosho,Lagos,48000000
5,,,,detached duplex,Guzape District,Abuja,230000000
4,,5,,detached duplex,Guzape District,Abuja,150000000
8,7,10,,detached duplex,Lugbe District,Abuja,250000000
3,3,4,4,semi-detached bungalow,Ajah,Lagos,25000000
,,,,detached bungalow,Port Harcourt,Rivers,15000000
4,4,5,3,terraced duplex,Lekki,Lagos,35000000
5,5,6,3,detached duplex,Lekki,Lagos,89000000
,,,,Block of flats,Agege,Lagos,30000000
